writing_id,cefr_level,move_sequence
931386,C2,"['Other', 'Other', 'Opinion_Evaluation', 'Information_Reporting', 'Information_Reporting', 'Information_Reporting']"
932541,A1,['Information_Reporting']
936309,A2,"['Social_Opening', 'Social_Closing', 'Other', 'Daily_Routine', 'Social_Closing', 'Daily_Routine']"
936720,C1,"['Social_Closing', 'Opinion_Evaluation', 'Daily_Routine', 'Other', 'Other', 'Other', 'Opinion_Evaluation', 'Daily_Routine', 'Other', 'Other', 'Other', 'Other', 'Other', 'Opinion_Evaluation', 'Daily_Routine']"
936721,C1,"['Physical_Description', 'Physical_Description', 'Physical_Description', 'Physical_Description', 'Physical_Description', 'Information_Reporting', 'Physical_Description', 'Physical_Description', 'Physical_Description', 'Social_Closing', 'Information_Reporting']"
937057,B1,['Self_Introduction']
937302,A2,"['Information_Reporting', 'Information_Reporting', 'Physical_Description', 'Daily_Routine', 'Information_Reporting']"
942803,A2,"['Self_Introduction', 'Other', 'Opinion_Evaluation', 'Daily_Routine', 'Opinion_Evaluation', 'Daily_Routine']"
943805,B1,"['Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Other', 'Physical_Description']"
944601,B1,"['Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation']"
946690,C2,['Opinion_Evaluation']
949171,A1,"['Social_Opening', 'Other', 'Other', 'Social_Closing', 'Other']"
951459,A1,"['Social_Opening', 'Other', 'Social_Closing', 'Social_Opening']"
952980,A1,"['Social_Opening', 'Other', 'Other', 'Social_Closing', 'Social_Opening']"
953749,C2,"['Narrative_Experience', 'Opinion_Evaluation', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience']"
958697,C1,"['Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Opinion_Evaluation', 'Other', 'Narrative_Experience', 'Narrative_Experience', 'Opinion_Evaluation', 'Social_Closing']"
959730,A2,"['Information_Reporting', 'Information_Reporting', 'Opinion_Evaluation', 'Opinion_Evaluation']"
960351,C1,"['Self_Introduction', 'Self_Introduction', 'Narrative_Experience', 'Other', 'Narrative_Experience']"
961064,B2,"['Information_Reporting', 'Social_Closing']"
961982,A1,"['Social_Opening', 'Other', 'Other', 'Social_Closing', 'Social_Opening']"
965106,A2,"['Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Narrative_Experience']"
965238,C2,"['Opinion_Evaluation', 'Other', 'Opinion_Evaluation', 'Information_Reporting', 'Social_Closing', 'Information_Reporting', 'Social_Closing']"
965311,C2,['Narrative_Experience']
968592,C2,"['Information_Reporting', 'Other', 'Other', 'Other', 'Social_Closing', 'Opinion_Evaluation', 'Social_Closing', 'Social_Closing']"
969100,A2,"['Information_Reporting', 'Information_Reporting']"
969194,A1,"['Information_Reporting', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Social_Closing']"
969958,C2,['Information_Reporting']
970288,C1,"['Social_Closing', 'Daily_Routine']"
970349,B1,"['Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine']"
971213,A2,"['Information_Reporting', 'Narrative_Experience', 'Information_Reporting', 'Information_Reporting']"
971442,B2,"['Other', 'Self_Introduction', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Information_Reporting', 'Narrative_Experience', 'Narrative_Experience', 'Self_Introduction', 'Other']"
972617,C2,"['Information_Reporting', 'Other', 'Other', 'Other', 'Information_Reporting', 'Social_Closing', 'Social_Closing', 'Social_Closing']"
974657,A1,"['Social_Opening', 'Other', 'Social_Closing', 'Social_Opening']"
974693,B1,"['Information_Reporting', 'Information_Reporting', 'Information_Reporting']"
975127,C1,"['Self_Introduction', 'Self_Introduction', 'Narrative_Experience', 'Opinion_Evaluation', 'Other', 'Narrative_Experience', 'Narrative_Experience']"
976133,A2,"['Daily_Routine', 'Other', 'Daily_Routine', 'Daily_Routine']"
978252,A1,"['Other', 'Physical_Description', 'Other', 'Opinion_Evaluation', 'Physical_Description', 'Other']"
978514,C1,"['Physical_Description', 'Physical_Description', 'Physical_Description', 'Physical_Description', 'Physical_Description', 'Physical_Description', 'Physical_Description']"
980836,C2,"['Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Other', 'Information_Reporting', 'Information_Reporting', 'Information_Reporting']"
983016,C1,"['Physical_Description', 'Physical_Description', 'Opinion_Evaluation', 'Physical_Description', 'Physical_Description', 'Physical_Description', 'Physical_Description']"
983881,A1,"['Social_Opening', 'Other', 'Other', 'Social_Closing', 'Social_Opening']"
988368,C2,"['Social_Opening', 'Other', 'Other', 'Information_Reporting', 'Other', 'Other', 'Other', 'Social_Closing']"
988487,B1,"['Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Other']"
991690,A2,"['Self_Introduction', 'Self_Introduction', 'Social_Closing', 'Daily_Routine', 'Daily_Routine', 'Information_Reporting', 'Information_Reporting', 'Daily_Routine']"
992523,A2,"['Information_Reporting', 'Information_Reporting', 'Other', 'Other', 'Narrative_Experience', 'Information_Reporting', 'Other']"
993318,B2,"['Information_Reporting', 'Other', 'Narrative_Experience']"
994467,C1,"['Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation']"
996170,B1,"['Information_Reporting', 'Information_Reporting', 'Physical_Description', 'Information_Reporting']"
996499,A1,"['Opinion_Evaluation', 'Information_Reporting']"
1000963,B2,"['Other', 'Other', 'Physical_Description', 'Other']"
1001284,C2,"['Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience']"
1005151,B2,"['Social_Closing', 'Information_Reporting', 'Other', 'Physical_Description', 'Social_Closing', 'Other']"
1006935,A1,"['Physical_Description', 'Opinion_Evaluation']"
1010080,B2,"['Social_Closing', 'Social_Closing', 'Other', 'Social_Closing', 'Other', 'Physical_Description', 'Physical_Description', 'Information_Reporting']"
1014052,C1,"['Self_Introduction', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience']"
1016291,B1,"['Narrative_Experience', 'Narrative_Experience', 'Opinion_Evaluation']"
1021016,B1,"['Self_Introduction', 'Self_Introduction', 'Narrative_Experience', 'Self_Introduction']"
1025838,C2,"['Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Social_Closing']"
1028950,A1,"['Social_Opening', 'Other', 'Other', 'Social_Closing', 'Social_Opening']"
1035386,A1,"['Narrative_Experience', 'Self_Introduction']"
1039936,C1,"['Self_Introduction', 'Narrative_Experience', 'Other']"
1040607,A2,"['Self_Introduction', 'Opinion_Evaluation', 'Daily_Routine', 'Other']"
1041168,A1,"['Self_Introduction', 'Narrative_Experience']"
1041587,A1,"['Self_Introduction', 'Other', 'Information_Reporting', 'Other', 'Information_Reporting']"
1045517,C2,"['Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Social_Closing', 'Information_Reporting', 'Information_Reporting', 'Social_Closing']"
1047100,A2,"['Opinion_Evaluation', 'Information_Reporting', 'Other', 'Other', 'Narrative_Experience', 'Other', 'Other']"
1049327,A1,['Physical_Description']
1052344,A1,"['Social_Opening', 'Other', 'Other', 'Social_Closing', 'Social_Opening']"
1057670,C1,"['Physical_Description', 'Information_Reporting', 'Physical_Description', 'Physical_Description', 'Physical_Description', 'Physical_Description', 'Physical_Description', 'Physical_Description']"
1059546,C1,"['Self_Introduction', 'Narrative_Experience', 'Narrative_Experience', 'Other']"
1070622,C1,['Opinion_Evaluation']
1070837,C2,"['Narrative_Experience', 'Narrative_Experience']"
1071414,A1,['Other']
1071769,C2,"['Other', 'Other', 'Social_Opening', 'Social_Opening', 'Other', 'Social_Closing', 'Social_Closing']"
1071816,A1,"['Other', 'Physical_Description']"
1080469,C2,"['Information_Reporting', 'Information_Reporting', 'Social_Opening', 'Narrative_Experience', 'Social_Opening', 'Other', 'Information_Reporting', 'Social_Closing', 'Social_Closing']"
1085427,C1,"['Narrative_Experience', 'Self_Introduction', 'Physical_Description', 'Physical_Description', 'Narrative_Experience', 'Other', 'Physical_Description', 'Other']"
1087317,B2,"['Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience']"
1091486,B2,"['Other', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Social_Closing', 'Information_Reporting', 'Other']"
1093640,B1,"['Information_Reporting', 'Information_Reporting', 'Opinion_Evaluation', 'Information_Reporting', 'Narrative_Experience', 'Information_Reporting', 'Social_Closing', 'Social_Closing']"
1096805,B1,"['Information_Reporting', 'Information_Reporting', 'Opinion_Evaluation', 'Information_Reporting', 'Daily_Routine', 'Other']"
1097038,B1,"['Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Social_Opening', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation']"
1097600,A2,['Opinion_Evaluation']
1103521,B1,"['Narrative_Experience', 'Narrative_Experience', 'Other', 'Information_Reporting', 'Narrative_Experience', 'Opinion_Evaluation', 'Opinion_Evaluation']"
1104029,A2,"['Information_Reporting', 'Information_Reporting', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine']"
1104105,B1,"['Information_Reporting', 'Information_Reporting', 'Other', 'Information_Reporting', 'Other', 'Information_Reporting', 'Information_Reporting', 'Information_Reporting']"
1104629,B1,"['Self_Introduction', 'Self_Introduction', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Social_Opening', 'Other']"
1105350,A1,"['Information_Reporting', 'Information_Reporting']"
1109525,B2,"['Other', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Other', 'Self_Introduction', 'Social_Closing']"
1111824,A1,"['Social_Opening', 'Social_Opening', 'Other', 'Social_Closing', 'Social_Closing', 'Social_Opening']"
1115339,B2,"['Daily_Routine', 'Social_Opening', 'Other', 'Social_Opening', 'Opinion_Evaluation']"
1117224,A1,"['Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation']"
1122716,A2,"['Social_Opening', 'Social_Closing', 'Other', 'Other', 'Social_Closing', 'Social_Closing']"
1125650,A1,"['Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation']"
1127164,C2,"['Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience']"
1127204,C2,"['Other', 'Other', 'Opinion_Evaluation', 'Other', 'Other', 'Information_Reporting']"
1129712,B2,"['Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Other', 'Opinion_Evaluation']"
1130629,C2,"['Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Daily_Routine', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Other', 'Opinion_Evaluation']"
1132898,B1,"['Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Narrative_Experience', 'Information_Reporting', 'Information_Reporting', 'Self_Introduction']"
1133664,B2,"['Social_Closing', 'Information_Reporting', 'Physical_Description', 'Social_Closing']"
1136773,A2,"['Self_Introduction', 'Other', 'Opinion_Evaluation', 'Daily_Routine', 'Daily_Routine']"
1138790,B2,"['Information_Reporting', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience']"
1138950,C1,"['Opinion_Evaluation', 'Other', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation']"
1140203,B1,"['Information_Reporting', 'Other', 'Information_Reporting', 'Information_Reporting']"
1142998,A1,"['Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation']"
1145759,C1,"['Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation']"
1146741,C1,"['Daily_Routine', 'Daily_Routine']"
1147330,A1,"['Social_Opening', 'Other', 'Other', 'Social_Closing', 'Social_Opening']"
1148302,B2,"['Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Other', 'Narrative_Experience', 'Other', 'Other']"
1149155,B1,"['Opinion_Evaluation', 'Opinion_Evaluation', 'Other', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation']"
1150085,B2,"['Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Other']"
1150523,B2,"['Other', 'Physical_Description', 'Other', 'Information_Reporting', 'Social_Opening']"
1153432,B1,"['Self_Introduction', 'Self_Introduction', 'Narrative_Experience', 'Self_Introduction', 'Physical_Description', 'Narrative_Experience']"
1155635,A2,"['Other', 'Information_Reporting', 'Information_Reporting', 'Other', 'Opinion_Evaluation', 'Information_Reporting', 'Other']"
1156842,B1,"['Information_Reporting', 'Other', 'Information_Reporting', 'Information_Reporting', 'Opinion_Evaluation']"
1159371,B1,"['Opinion_Evaluation', 'Opinion_Evaluation', 'Other', 'Opinion_Evaluation']"
1159897,B2,"['Other', 'Other', 'Self_Introduction']"
1160770,A2,"['Opinion_Evaluation', 'Opinion_Evaluation', 'Information_Reporting', 'Opinion_Evaluation', 'Other', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Daily_Routine']"
1160778,A1,"['Other', 'Narrative_Experience', 'Information_Reporting']"
1163920,A2,"['Information_Reporting', 'Narrative_Experience']"
1167878,C1,"['Self_Introduction', 'Self_Introduction', 'Narrative_Experience', 'Self_Introduction', 'Opinion_Evaluation', 'Narrative_Experience', 'Other', 'Other', 'Opinion_Evaluation', 'Information_Reporting', 'Other', 'Daily_Routine', 'Information_Reporting', 'Social_Closing']"
1168801,C1,"['Narrative_Experience', 'Other', 'Narrative_Experience', 'Narrative_Experience', 'Information_Reporting', 'Information_Reporting', 'Narrative_Experience', 'Information_Reporting', 'Narrative_Experience', 'Opinion_Evaluation']"
1171671,A2,"['Other', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Social_Closing']"
1185175,A1,"['Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation']"
1185464,C2,"['Information_Reporting', 'Opinion_Evaluation', 'Information_Reporting', 'Information_Reporting']"
1187904,A1,"['Information_Reporting', 'Information_Reporting']"
1189532,C2,"['Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Other']"
1192006,A1,['Narrative_Experience']
1196870,A2,"['Self_Introduction', 'Self_Introduction', 'Social_Closing', 'Daily_Routine', 'Daily_Routine', 'Information_Reporting', 'Information_Reporting', 'Daily_Routine', 'Information_Reporting', 'Daily_Routine', 'Social_Closing']"
1197034,C2,"['Information_Reporting', 'Physical_Description', 'Information_Reporting', 'Opinion_Evaluation', 'Information_Reporting', 'Social_Closing']"
1201937,C1,"['Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Narrative_Experience']"
1204845,B1,"['Narrative_Experience', 'Other', 'Opinion_Evaluation']"
1206110,B2,"['Narrative_Experience', 'Narrative_Experience', 'Social_Closing', 'Other']"
1206446,C1,['Narrative_Experience']
